,matchId,teamId,win,baronKills,dragonKills,riftHeraldKills,totalGold,goldSpent,totalKills,totalDeaths,totalTurretsTaken,totalInhibitorsTaken,averageChampionExp,wardsPlaced,goldDiff,allInPings,assistMePings,commandPings,enemyMissingPings,enemyVisionPings,holdPings,getBackPings,totalPings,gameDurationMinutes,top,topItems,jung,jungItems,mid,midItems,bot,botItems,sup,supItems,magicDPM,physicalDPM,trueDPM,damageCV
0,NA1_5217191498,100,True,0,2,0,40399,36225,18,14,14,0,8803.2,42,10161,0,5,19,12,2,0,21,59,19.583333333333332,Volibear,"[3086, 6657, 3158, 0, 1042, 1042, 3340]",Skarner,"[3084, 0, 2422, 1033, 1102, 2502, 3364]",Mel,"[6653, 2031, 6655, 3020, 0, 0, 3340]",Tristana,"[1055, 3032, 3172, 6675, 3123, 3035, 3363]",Seraphine,"[3870, 3040, 3009, 3067, 1004, 2055, 3364]",1056.3574468085108,1618.1106382978724,37.58297872340426,0.8862673162277512
1,NA1_5217191498,200,False,0,0,0,30238,27150,14,18,0,0,7291.6,37,-10161,0,5,4,13,2,0,4,28,19.583333333333332,Shen,"[1054, 3077, 3111, 0, 6664, 0, 3340]",Shaco,"[1101, 6676, 1036, 3009, 1018, 1038, 3340]",Malzahar,"[2503, 1056, 3147, 3020, 0, 1052, 3340]",Jinx,"[1055, 3032, 3006, 0, 2003, 0, 3340]",Soraka,"[3869, 2031, 6617, 1028, 1029, 1001, 3364]",1251.3191489361702,981.4468085106383,79.14893617021276,0.796562391097577
2,NA1_5217177369,100,False,0,1,0,46430,44275,22,35,7,0,11836.6,60,-8559,2,50,42,19,4,0,1,118,26.533333333333335,Irelia,"[3047, 1055, 3153, 1037, 2021, 3066, 3340]",Diana,"[4633, 6653, 2502, 1001, 3067, 0, 3364]",Veigar,"[3040, 6657, 3020, 3145, 0, 1058, 3340]",Samira,"[1055, 2031, 6676, 3047, 3031, 1036, 3363]",JarvanIV,"[3084, 3190, 3869, 3047, 1028, 1029, 3364]",2025.791457286432,1427.2613065326632,127.01005025125627,0.8134726695135029
3,NA1_5217177369,200,True,0,3,1,54989,45700,35,23,18,2,13683.6,43,8559,3,10,14,6,5,0,2,40,26.533333333333335,Illaoi,"[6662, 3053, 3071, 1033, 3111, 0, 3340]",Amumu,"[3211, 6653, 3111, 1057, 0, 0, 3364]",Aatrox,"[6699, 3161, 1001, 1055, 0, 0, 3340]",Jinx,"[1055, 3172, 3139, 6672, 3032, 1038, 3363]",Seraphine,"[3870, 3107, 3040, 0, 3009, 0, 3364]",923.7814070351758,3500.4271356783916,126.89698492462311,1.1623165304920753
4,NA1_5216073893,100,True,2,4,1,81806,73735,50,37,15,4,21128.8,92,5871,1,8,44,7,12,0,9,81,40.9,Urgot,"[3110, 3174, 3071, 3181, 6665, 3075, 3340]",JarvanIV,"[6610, 6692, 0, 3110, 3075, 3174, 3340]",Ekko,"[3089, 4630, 3041, 3171, 3100, 3115, 3364]",MissFortune,"[6676, 3814, 3170, 3142, 6694, 3133, 3340]",Swain,"[3876, 3076, 3170, 6653, 2503, 3116, 3364]",1488.0929095354525,2178.679706601467,369.119804400978,0.6788030426730342
5,NA1_5216073893,200,False,0,1,0,75935,73905,37,50,11,1,19740.2,87,-5871,2,8,26,13,4,0,8,61,40.9,Kayle,"[3115, 3089, 4645, 3100, 3116, 3009, 3363]",Briar,"[6610, 3742, 3153, 3067, 3047, 0, 3340]",Leblanc,"[1082, 6655, 4646, 4645, 3089, 3020, 3340]",Vayne,"[3026, 3153, 3006, 6672, 3124, 3302, 3363]",Seraphine,"[3870, 3107, 3040, 3158, 3108, 2022, 3364]",1941.1246943765282,1536.5770171149145,518.8997555012226,0.5500737208032764
6,NA1_5215194163,100,False,0,1,0,59642,54165,31,59,4,0,15017.4,58,-11308,1,20,18,25,7,0,2,73,34.5,KSante,"[1054, 6662, 3143, 2502, 3111, 1033, 3364]",Evelynn,"[4646, 3020, 3100, 3145, 0, 0, 3364]",Mel,"[4645, 6655, 3020, 1082, 2503, 1058, 3340]",Ashe,"[1057, 3153, 3139, 3085, 6672, 3006, 3363]",Seraphine,"[3871, 3107, 3009, 3040, 1052, 2055, 3364]",1774.8695652173913,1877.0434782608695,128.55072463768116,0.7787364914128638
7,NA1_5215194163,200,True,1,3,1,70950,64930,59,31,19,4,18361.8,70,11308,25,7,55,32,4,0,2,125,34.5,Teemo,"[1056, 3115, 6653, 3084, 3020, 0, 3340]",Khazix,"[3171, 3814, 6694, 6701, 6697, 6676, 3364]",Diana,"[4646, 3111, 3102, 4629, 6665, 1052, 3340]",Jhin,"[3031, 2031, 6676, 3170, 6670, 3094, 3340]",Leona,"[3173, 3869, 3190, 6660, 1031, 3075, 3364]",1730.6666666666667,2379.768115942029,336.92753623188406,0.7040988879202138
8,NA1_5215183167,100,True,0,0,0,2855,2425,0,1,0,0,152.2,1,-312,0,0,0,0,0,0,0,0,1.9333333333333333,Aatrox,"[1054, 2003, 0, 0, 0, 0, 3340]",Kayn,"[1103, 0, 0, 0, 0, 0, 3340]",Irelia,"[1055, 2003, 0, 0, 0, 0, 3340]",Ashe,"[1055, 0, 0, 0, 0, 0, 3340]",Seraphine,"[3865, 2055, 0, 0, 0, 0, 3340]",24.310344827586206,498.1034482758621,0.0,1.6126615840188359
9,NA1_5215183167,200,False,0,0,0,3167,1975,1,0,0,0,54.4,1,312,0,0,1,0,0,0,0,1,1.9333333333333333,Trundle,"[1055, 2003, 0, 0, 0, 0, 3340]",Nasus,"[0, 0, 0, 0, 0, 0, 0]",Chogath,"[1054, 0, 0, 0, 0, 0, 3340]",Jhin,"[1055, 2003, 0, 0, 0, 0, 3340]",Morgana,"[3865, 2055, 0, 0, 0, 0, 3340]",58.44827586206897,798.1034482758621,0.0,1.5581321537833832
